agricultrendspricechangeregression.country,agricultrendspricechangeregression.crop,agricultrendspricechangeregression.coefficient,agricultrendspricechangeregression.intercept
Nepal,Chillies and peppers green,2.9561056973538728E-5,8.391791451556303E-5
China,Fruit citrus nes,2.9362807181161137E-6,6.331896462020174E-5
Thailand,Cabbages and other brassicas,1.223666551501316E-5,3.9013724855027686E-5
Israel,Asparagus,9.027496292753643E-8,1.0778218113826406E-5
Panama,Maize,5.507731407221741E-7,1.7419611327160363E-4
Egypt,Vetches,3.6447541823860804E-4,6.209773395721524E-4
Malta,Barley,4.612461850670688E-6,8.146859164370933E-5
Venezuela (Bolivarian Republic of),Sweet potatoes,1.9790954652459006E-4,6.323450174799146E-4
Saudi Arabia,Pumpkins squash and gourds,-2.5341589339935717E-7,9.740925940292303E-6
Turkey,Rapeseed,2.695273178595354E-4,5.176028192030807E-4
Bulgaria,Beans green,2.420899894696667E-5,1.0542215515820228E-4
Lao People's Democratic Republic,Vegetables fresh nes,1.592361871677309E-5,1.6227015559224143E-4
Sweden,Carrots and turnips,5.496393538397019E-5,2.5507804805572964E-4
Egypt,Lupins,-1.9597376410716074E-6,2.5875232517089786E-4
Ukraine,Carrots and turnips,-4.844546316657115E-5,3.5606182807108037E-4
Georgia,Barley,1.2496228236272794E-5,5.7843985245028345E-5
Honduras,Sugar cane,-4.439751525448808E-6,6.138419137276695E-6
Yemen,Tomatoes,-1.3310290076826918E-4,6.215922921831029E-5
Israel,Sweet potatoes,1.8704888820097443E-4,9.310653956793775E-4
United States of America,Oats,-4.464439391859563E-6,5.273258690438148E-5
Uruguay,Tomatoes,-4.14791356851641E-5,1.8321914064237137E-4
Iran (Islamic Republic of),Pulses nes,8.903314859866728E-5,1.7697495276250996E-4
Russian Federation,Cherries sour,0.0034998832614336482,2.729122626332371E-4
Cuba,Plantains and others,-6.907568697122462E-7,2.3083633416589352E-4
Estonia,Rapeseed,1.8549934989310057E-5,2.4284813467050537E-4
Zimbabwe,Millet,9.883591596069306E-7,1.27513041094982E-4
Mexico,Sweet potatoes,-1.5949127049507924E-5,5.775789467089683E-4
Lithuania,Beans dry,3.4633104333701054E-5,4.444329243211731E-5
Portugal,Bananas,2.4846452933785525E-5,3.528814838262528E-4
Oman,Sorghum,-5.108881159128498E-6,1.676948481055907E-5
Cameroon,Sesame seed,1.8550147818568313E-5,1.3336629900403624E-4
Nigeria,Chillies and peppers dry,4.3910324875991045E-6,3.405971146155905E-4
Egypt,Carrots and turnips,6.34766771527545E-6,2.1986604132951033E-4
Japan,Asparagus,-1.005861157531188E-5,1.2583524046918377E-4
Brazil,Rye,-1.2109081915205786E-5,3.158255841114194E-4
Albania,Grapes,-4.4299490302039776E-5,3.1046835156223565E-4
Latvia,Sugar beet,-5.383890514968961E-6,2.6326338913256287E-5
C�te d'Ivoire,Eggplants aubergines,1.3367111925965621E-6,4.6584259340342785E-4
Israel,Lettuce and chicory,1.8299749660642776E-5,1.1648192218578055E-4
Armenia,Lentils,-9.68265146206539E-6,2.8121796056027802E-5
Qatar,Chillies and peppers green,1.148664992089958E-5,6.644837623477768E-4
Chile,Maize,4.1340708598701085E-5,8.449261129929336E-4
Bulgaria,Rapeseed,1.1468957631527795E-6,1.922777597997008E-4
France,Lentils,-5.1438521146912494E-5,2.2939796981267765E-4
Suriname,Pulses nes,6.505270040314976E-6,4.499923067337003E-4
Tunisia,Barley,-4.066093320712127E-6,2.4692257751132506E-4
Cabo Verde,Chillies and peppers dry,1.889105453018298E-4,0.0022792303127911907
Colombia,Lemons and limes,-7.368069660531434E-6,2.66897799544323E-4
Cabo Verde,Onions dry,-5.242545141092359E-6,2.526789644284269E-5
Slovenia,Peas green,-1.6775234150698282E-5,1.7160215859956968E-4
Colombia,Peas dry,1.6656677091087079E-6,2.638546466669558E-4
New Zealand,Tobacco unmanufactured,-3.5526785296630174E-6,1.0011956021339189E-4
Turkey,Hempseed,1.1419370085698446E-4,4.925690674521208E-4
Paraguay,Onions shallots green,5.557667999175601E-5,1.694462524140679E-4
Canada,Linseed,2.370839109163559E-6,1.58670748207427E-4
Ecuador,Peas dry,2.3694760477909554E-5,1.589544675561856E-4
Belgium,Rapeseed,-6.92598463688537E-8,3.332395647836424E-5
Bolivia (Plurinational State of),Cassava,3.119470400935755E-7,1.061754226620788E-5
Lebanon,Barley,2.66462455289146E-5,1.835495121286634E-4
Israel,Barley,7.165790039084834E-4,7.926974813932862E-4
Trinidad and Tobago,Ginger,-1.0181676279615964E-4,-2.916016953849931E-5
Cambodia,Soybeans,4.241975517669717E-5,2.815589052207965E-4
Portugal,Vegetables fresh nes,1.0592004425418555E-6,1.5267410581725366E-4
Israel,Garlic,2.048004955310254E-5,2.3152358223152392E-4
Russian Federation,Watermelons,-4.1602627404846025E-5,6.0239204635549625E-5
Burkina Faso,Pulses nes,4.131513158638265E-5,9.210179224661245E-4
Saint Lucia,Lemons and limes,1.0134483104998183E-5,2.2982075620430603E-4
Iraq,Lentils,-9.743188833732204E-7,2.416692916602203E-6
Portugal,Chick peas,-3.217031031910344E-6,1.2522655169711696E-4
Syrian Arab Republic,Eggplants aubergines,2.4430368114855162E-5,2.0194927410351502E-4
Philippines,Melons other inc.cantaloupes,1.0629369618475474E-5,1.542080645559597E-4
Norway,Currants,-2.366896845739471E-6,1.9671905021375338E-5
Panama,Sugar cane,5.752355089682018E-6,6.589917893152628E-5
Morocco,Cabbages and other brassicas,-4.589308729391915E-5,2.448079978348116E-4
Japan,Oranges,-3.7302079739424864E-5,1.7085907960554127E-4
Chile,Peas green,-8.740884269650983E-7,1.317672895676868E-4
South Africa,Buckwheat,-3.689378544340604E-4,3.2479413913674883E-4
Canada,Garlic,3.272467496597519E-8,-3.619349051236855E-6
Japan,Lettuce and chicory,3.058045889953171E-5,4.7159673592711955E-4
Paraguay,Vegetables fresh nes,1.2380248469322343E-5,2.516138749615951E-4
Serbia,Apricots,-6.687107679953813E-5,1.6496766055744993E-4
Hungary,Soybeans,-5.833424697705661E-6,1.940119388648457E-4
Kazakhstan,Strawberries,4.227477360029703E-5,5.940434506314387E-4
Hungary,Maize green,9.382394277016216E-8,6.343359573775727E-6
Cyprus,Broad beans horse beans dry,1.969444841573495E-6,2.4144692302564976E-4
United Kingdom of Great Britain and Northern Ireland,Peas green,8.495323437164016E-5,9.280252840879373E-4
Algeria,Oranges,3.0357839403631185E-5,6.801739395511551E-4
Indonesia,Papayas,-3.0165149402918907E-5,1.5001483694490026E-4
Ecuador,Cabbages and other brassicas,-8.072504237529445E-6,3.3227023720829295E-4
Sierra Leone,Mangoes mangosteens guavas,1.0791171700396145E-6,6.868554295063929E-6
Slovakia,Mustard seed,8.331040941848566E-5,6.056060430643621E-5
Greece,Garlic,8.285820999204175E-7,1.5287418337715287E-4
Nigeria,Potatoes,-5.763248722237059E-5,1.9747064068373582E-4
Paraguay,Onions dry,-1.7798996230790192E-5,4.7385241186414145E-4
Slovakia,Linseed,-6.310029683842472E-6,4.005930635807492E-5
Colombia,Soybeans,4.261849718791867E-5,3.7307856864823147E-4
Peru,Broad beans horse beans dry,9.501898951014836E-6,1.0111402267335725E-4
Mauritius,Spices nes,-1.1418917345544573E-6,1.9032632489791198E-4
Jamaica,Pumpkins squash and gourds,-8.112621357767235E-5,2.957115188287502E-4
Suriname,Mangoes mangosteens guavas,-2.0639289918726487E-5,1.482292258037018E-4
Australia,Pineapples,-1.0945712186784006E-5,4.164175452102584E-4
Ireland,Berries nes,-1.6835915312180038E-6,8.627391270034666E-6
Italy,Peas green,-4.477336290898595E-6,1.7563097854516227E-4
Burundi,Tea,5.2076228807070994E-5,1.794870333353784E-4
Switzerland,Asparagus,-1.1513310760525604E-5,9.353767268552749E-5
United Kingdom of Great Britain and Northern Ireland,Barley,-2.5484850524726815E-6,1.3113606789915373E-4
Japan,Barley,-3.944127775477314E-6,5.408596340953484E-5
United States of America,Sweet potatoes,-1.3039324949180685E-5,1.7961358169962902E-4
Rwanda,Sweet potatoes,-8.169480892156594E-6,2.8940927440868406E-4
El Salvador,Fruit fresh nes,8.076566322360788E-7,5.7862603385529884E-5
Dominican Republic,Pumpkins squash and gourds,3.782810924825875E-5,5.94551167640616E-4
Cameroon,Cow peas dry,1.3103114688318361E-5,2.1799925951067393E-4
Turkey,Carrots and turnips,6.806391548866444E-5,9.70094100352364E-4
Iraq,Sorghum,2.832383836994007E-5,1.6888848018307848E-4
Indonesia,Bananas,4.3826513934056326E-5,3.385190321917246E-4
Jordan,Dates,-6.172864482127448E-6,2.0097892101562635E-4
Oman,Okra,-3.852790395165773E-10,5.475243239352248E-8
Australia,Cauliflowers and broccoli,-1.019947425052124E-5,9.985595876786061E-5
Bhutan,Garlic,3.558392785477132E-6,3.341323488474547E-4
Ethiopia,Pineapples,3.13768654882267E-5,2.104955835203954E-5
Denmark,Carrots and turnips,-4.03791130483596E-5,1.2070308249901771E-4
Kenya,Chillies and peppers green,-2.7267744198853124E-5,5.4283794931421424E-5
Venezuela (Bolivarian Republic of),Groundnuts with shell,-1.2114159260903274E-4,2.3014735320870435E-4
Madagascar,Cauliflowers and broccoli,8.34495063982554E-6,1.8954352932387675E-4
Mauritius,Peas green,-1.6634081447295486E-5,1.4549408989560162E-4
North Macedonia,Peas dry,-8.406752268307519E-5,3.5979514337410566E-4
Greece,Figs,2.828815502284713E-4,1.7450735947254975E-4
Chad,Rice paddy,-1.0765640173923649E-5,2.0897823004621823E-4
Rwanda,Taro cocoyam,9.732609137324977E-5,3.491817850518866E-4
Greece,Flax fibre and tow,-5.567765851975181E-9,1.1467919314063846E-5
Portugal,Maize,-1.9019259458055738E-6,1.905794949861485E-4
Hungary,Leeks other alliaceous vegetables,-6.295783673558982E-5,1.1310101374085984E-4
Eritrea,Cereals nes,-1.0286777379173604E-7,5.322517996572707E-6
China,Bastfibres other,1.3036985138023652E-5,4.7498454569713303E-5
Guinea,Pineapples,8.555684291982731E-6,8.94985783024271E-5
China,Garlic,4.667188726633886E-8,1.5464993641031305E-5
Finland,Barley,6.281128043347057E-6,4.5556713426361155E-5
Trinidad and Tobago,Sweet potatoes,5.231868476093246E-4,3.1266568963936184E-4
Ethiopia,Soybeans,-1.10220453076686E-5,6.407463049130901E-4
C�te d'Ivoire,Plantains and others,-3.90854831409643E-6,1.9853550711143632E-4
Rwanda,Sugar cane,-6.762987256554851E-7,3.495782249126909E-4
Turkey,Vetches,-1.3474533657596636E-5,9.58550337098156E-4
South Africa,Sugar cane,-3.9050921092960084E-5,2.563446617162212E-4
Germany,Leeks other alliaceous vegetables,-8.458855546308946E-6,3.3782390037492936E-6
Cyprus,Oats,-8.31944804728706E-6,8.467200822368858E-6
Lithuania,Oats,1.596405777498579E-5,1.8074819589596324E-4
Bosnia and Herzegovina,Plums and sloes,5.758969721750114E-5,9.239399926745294E-5
Panama,Pineapples,6.154262979591091E-5,4.5802799421860914E-4
Chile,Papayas,6.062923794679304E-6,4.303971910120749E-4
South Africa,Maize green,4.064185991938073E-6,2.2341318400956073E-4
Mexico,Melons other inc.cantaloupes,2.4802740419878086E-5,5.547483848217618E-4
Malaysia,Lettuce and chicory,9.966412777616401E-5,6.242866920530161E-5
Azerbaijan,Beans dry,7.151298973660769E-6,1.0797957826268964E-4
Canada,Watermelons,-1.8123729698478295E-6,-6.797644467605751E-6
Iran (Islamic Republic of),Walnuts with shell,7.040383842545165E-5,4.752601804306568E-4
Cyprus,Tomatoes,-2.6863957590397036E-5,2.3028672601573444E-4
Romania,Fruit fresh nes,3.1682436943052418E-6,-8.76143985536106E-6
Brazil,Jute,-4.146543078651727E-5,4.248096508201698E-4
South Africa,Oranges,-6.444420242873106E-6,2.882329670695111E-4
Slovenia,Plums and sloes,3.148007678822252E-7,1.7314042233522389E-6
Estonia,Peas green,9.942339840259696E-5,1.0446637754679318E-4
Azerbaijan,Figs,-6.0013003117411836E-5,1.719739482878078E-4
Spain,Groundnuts with shell,4.726768506929144E-6,1.8401723601593365E-4
Republic of Korea,Chillies and peppers green,6.208811688861197E-5,0.0012687725921993792
Mozambique,Fruit tropical fresh nes,-5.636555524084148E-6,1.8288615493224748E-5
C�te d'Ivoire,Coconuts,1.5082369664662266E-5,6.332686673412169E-5
Canada,Canary seed,9.228556631471097E-6,8.182729763503175E-5
Bangladesh,Spices nes,8.08195994559981E-6,2.7380697209504674E-4
Yemen,Watermelons,1.0331867300691885E-6,3.114029314429381E-4
India,Vegetables fresh nes,5.9525886824499115E-6,2.766287519370972E-4
Iraq,Dates,1.5911795537387502E-5,1.3932307725036857E-4
Trinidad and Tobago,Chillies and peppers green,-3.9603516428413866E-6,2.2347952556807477E-4
Togo,Tomatoes,6.874052575242105E-6,8.905725142929837E-5
Cameroon,Plantains and others,5.177713107689516E-6,1.317072827660058E-4
Iran (Islamic Republic of),Berries nes,1.156772574057969E-7,1.2507667684084299E-6
Nicaragua,Agave fibres nes,-1.3849565510236562E-5,2.4340386072317353E-4
Peru,Cocoa beans,1.0886223900489077E-5,1.7039484215991492E-4
United Republic of Tanzania,Beans green,-1.769151982046436E-5,7.208738479025591E-5
Cambodia,Chillies and peppers dry,4.1583370701794406E-7,1.200532614627617E-5
Bosnia and Herzegovina,Pears,-4.299782235284366E-5,1.7817454300565484E-4
Nigeria,Maize,1.8360203080466977E-5,5.67906154614685E-4
Morocco,Grapes,-2.7084832312750764E-5,6.628583118849818E-5
Nepal,Almonds with shell,-4.798798126647616E-5,2.9557143833559276E-4
Guinea,Potatoes,-5.856970400068474E-7,1.663969928702372E-4
Azerbaijan,Melons other inc.cantaloupes,-2.6963080330919E-5,3.099616727262763E-5
Turkey,Onions dry,-2.3262070901898744E-5,1.1824838476337151E-4
Iran (Islamic Republic of),Barley,-2.5761867162047524E-5,4.7286100656933203E-4
Philippines,Groundnuts with shell,3.669630813955534E-5,5.215860858657782E-4
Portugal,Peaches and nectarines,1.0339517819071561E-5,1.3799739602363668E-4
Malawi,Tea,3.6442587588095456E-7,2.851026501181741E-4
El Salvador,Sesame seed,-1.0874084143635223E-5,2.6756894459563135E-5
Suriname,Oil palm fruit,-1.1688034301100779E-5,4.199859087121229E-5
Zimbabwe,Pineapples,0.0,0.0
North Macedonia,Apricots,-1.5304552789620376E-4,3.4894101190889853E-4
Morocco,Anise badian fennel coriander,-1.6141393077814022E-5,2.3698029494785653E-4
Lao People's Democratic Republic,Mangoes mangosteens guavas,-7.0473610462315974E-6,1.8639313726785255E-4
Bulgaria,Fruit fresh nes,7.860383995790102E-6,7.585036802288558E-5
Mexico,Linseed,0.0017702025755846956,8.815688458430194E-4
Ireland,Wheat,-2.679684234287109E-5,1.4105540140183423E-4
Morocco,Beans dry,6.203185173643785E-6,2.0005775454347443E-4
Lao People's Democratic Republic,Grapefruit inc. pomelos,1.4576600961996418E-6,7.130919617406086E-6
Togo,Fruit fresh nes,7.696092773873474E-6,2.117906960866984E-4
Malawi,Pepper piper spp.,3.727118280027609E-7,2.209297550447904E-5
Latvia,Vegetables fresh nes,1.5571397031960725E-4,1.473625006157492E-4
United States of America,Currants,-1.3566891713483042E-5,1.3067534274505623E-4
Ghana,Chillies and peppers dry,1.0301763028210069E-5,4.497819790548881E-4
Nicaragua,Oranges,1.1879378311618064E-6,8.307386985124691E-5
Colombia,Wheat,1.249929070467694E-4,5.281426191475733E-5
Saudi Arabia,Melons other inc.cantaloupes,-7.331645661956731E-6,1.5461854045411106E-5
Nicaragua,Seed cotton,3.179134226324521E-5,7.946001811664127E-5
Thailand,Soybeans,3.0986811712962454E-5,1.4890641897675653E-4
Lebanon,Cabbages and other brassicas,-8.433143758407455E-6,1.9277032416338078E-4
Israel,Sorghum,3.490821678496295E-6,3.996662880463994E-5
Morocco,Vegetables fresh nes,-3.318167231047825E-5,6.356240086414505E-4
United Kingdom of Great Britain and Northern Ireland,Cucumbers and gherkins,-9.423454403335521E-5,9.268898747623979E-4
China,Vegetables leguminous nes,7.030874081736742E-7,1.590656381638281E-5
Serbia,Cherries sour,1.8463720933023927E-5,2.9948910366718E-4
Algeria,Cherries,1.8627579146719243E-6,-5.9169957289578765E-6
Egypt,Mangoes mangosteens guavas,-6.869762285961181E-5,2.653324945936624E-4
Ecuador,Apricots,4.974266829560703E-6,1.359712371315995E-4
Ethiopia,Grapes,-4.359890128472211E-5,4.598635227567529E-4
Netherlands,Leeks other alliaceous vegetables,9.97277217277112E-6,5.373463271139712E-5
United States of America,Lemons and limes,-1.1024934943021556E-4,2.3197398272234717E-4
Nepal,Bananas,9.040782978568988E-7,3.854114294225745E-5
Belgium,Wheat,-4.033014105689221E-6,5.80082610970685E-5
Mexico,Walnuts with shell,-1.0591105109445353E-4,6.180461779027618E-5
Greece,Carobs,-6.0938183893529575E-6,9.166541838696079E-5
Finland,Rapeseed,-4.54579612460931E-6,4.367655478506322E-5
Paraguay,Maize,6.156038452328839E-6,5.644268180446024E-4
Turkey,Cucumbers and gherkins,3.449714398063191E-5,9.282403906028474E-4
Croatia,Cherries,-6.0844087575494507E-5,1.4243363260680708E-4
Philippines,Vegetables fresh nes,2.0401534114105896E-5,2.495890103533469E-5
Kenya,Fruit fresh nes,1.3983291361068065E-6,1.1377853701751647E-4
Philippines,Cashew nuts with shell,-9.774436352792629E-5,3.786120276738223E-4
Pakistan,Rapeseed,-3.3175021858961183E-6,2.4594421061455856E-4
Azerbaijan,Seed cotton,1.1152826776145302E-5,2.5767497938038274E-5
Croatia,Hazelnuts with shell,7.5455116678121E-5,6.936191419857877E-5
Thailand,Beans green,1.4036119703842239E-5,1.1469479064126432E-4
Bolivia (Plurinational State of),Mangoes mangosteens guavas,2.1003983901688352E-5,4.2583240003852505E-4
Tajikistan,Onions dry,-4.2795316241743105E-5,2.5000045009163096E-4
Honduras,Tomatoes,1.9310934356952462E-5,2.873741990651713E-4
Guyana,Pumpkins squash and gourds,-9.248830687925939E-6,2.0971624351940214E-4
Venezuela (Bolivarian Republic of),Mangoes mangosteens guavas,-2.4667276654777767E-5,3.054128362860693E-4
Benin,Millet,-1.0742224227458287E-8,-1.0872455456895745E-6
Turkey,Fruit stone nes,-4.311460109484404E-5,2.1452046331266563E-4
Bolivia (Plurinational State of),Bananas,2.829834618051884E-5,1.154458105866437E-4
Cameroon,Yams,1.5029123510019159E-5,1.8633398703262155E-4
Croatia,Pears,-2.0749999162856074E-5,1.5562525937642914E-4
Hungary,Flax fibre and tow,6.870903878595634E-5,1.986110426423596E-5
Cameroon,Tobacco unmanufactured,1.1259303990308949E-5,3.469044960631865E-5
C�te d'Ivoire,Chillies and peppers dry,1.2816067257722387E-13,2.7586658525926916E-7
Portugal,Kiwi fruit,-1.3720024261823823E-5,-1.3549838209543685E-5
Italy,Quinces,-3.2553022745049455E-6,2.99032267317615E-5
Zimbabwe,Vegetables fresh nes,-2.0918945771225732E-7,7.667270689584994E-6
Philippines,Cauliflowers and broccoli,3.65543453302646E-5,9.483771025730155E-5
Ireland,Rapeseed,3.245570730890934E-5,3.90109484063825E-5
Iran (Islamic Republic of),Cherries sour,-3.166674745375385E-5,1.2062014562563681E-4
Kyrgyzstan,Wheat,2.3858061091025055E-5,2.1277386950265385E-4
Croatia,Oats,1.5307942313581248E-5,3.898647183448464E-5
Canada,Barley,-1.2008737287165167E-5,1.5546304046437675E-4
Philippines,Castor oil seed,1.7510004078255528E-4,2.2518036328713194E-4
Luxembourg,Pulses nes,-3.784816421093453E-5,5.704373610163016E-5
Peru,Brazil nuts with shell,-1.1584394335800075E-5,1.2773039423194486E-4
Philippines,Fruit citrus nes,-2.617170154587822E-7,6.89412639948896E-5
Cabo Verde,Bananas,6.061380489301416E-6,1.1327845080538125E-5
Bolivia (Plurinational State of),Cherries sour,-7.82669778369663E-5,3.7801396017783043E-4
Turkey,Chillies and peppers green,5.993088936606285E-5,0.0010193018866713754
Algeria,Chick peas,1.621316761969882E-5,2.5274830041142345E-4
Jordan,Chick peas,-7.431413157837689E-6,1.4963079377602062E-4
Jamaica,Oranges,-1.4540206421293398E-4,1.9236465687831895E-4
Madagascar,Rice paddy,-2.1548959753041192E-5,-7.631816834912921E-6
Honduras,Onions dry,1.1232617743516202E-5,1.1241189082604908E-4
Thailand,Groundnuts with shell,-1.3620519025693353E-5,1.7860416857164597E-4
Bolivia (Plurinational State of),Seed cotton,-6.5516429214185345E-6,9.134922090025822E-7
Latvia,Tomatoes,-7.48310759909194E-6,4.621975942569386E-5
Albania,Potatoes,2.2766659361916058E-5,9.745757092908904E-5
Slovenia,Rye,-1.3402296439255379E-5,4.552894607802925E-5
Bulgaria,Cabbages and other brassicas,-4.908295293331379E-5,6.004217714281968E-5
Indonesia,Groundnuts with shell,2.0352695777761446E-5,1.0631320867527915E-4
Kenya,Pigeon peas,-2.0588354463091532E-5,6.275769244808799E-5
Dominican Republic,Coconuts,2.8556138443994917E-6,4.0853687212687466E-4
Finland,Cabbages and other brassicas,-1.5047798081253795E-5,1.1469249940616694E-4
Chile,Vegetables leguminous nes,-2.9011611304528193E-6,2.8472607025011585E-4
Fiji,Chillies and peppers green,1.506877667525443E-5,3.449979158293188E-5
Mexico,Ginger,-1.1119392910756324E-6,1.2272902462639104E-4
Panama,Roots and tubers nes,7.353720648576149E-6,1.2205641053068053E-4
Hungary,Safflower seed,-4.164323040620478E-5,2.805262594690461E-4
Kazakhstan,Seed cotton,3.923161264559271E-9,-2.08750926546302E-8
Poland,Rapeseed,-5.317657126783846E-5,3.428056248688586E-4
Ecuador,Peaches and nectarines,4.866153960492571E-6,2.984689555174588E-4
Italy,Rye,-3.0815183898146625E-6,8.986916637541085E-5
China,Oats,2.4822668580379934E-6,4.956206433672353E-5
Azerbaijan,Cherries,-7.804545496617346E-6,5.337390606840891E-5
Kenya,Wheat,7.766033742212641E-5,5.30051870950795E-4
Peru,Pineapples,2.9231123203693075E-4,4.1199906932130675E-4
Kazakhstan,Safflower seed,1.0537826878796287E-5,3.475201972132136E-5
Germany,Mushrooms and truffles,3.2074260326912526E-6,2.6020134609091463E-5
United Republic of Tanzania,Groundnuts with shell,-5.428399324164078E-6,-3.5860901536247394E-5
Azerbaijan,Rice paddy,4.83853961036366E-5,2.6222461494323395E-4
Malta,Vegetables leguminous nes,-2.4715634356119347E-5,2.929977142970175E-4
France,Quinces,-4.095770156439339E-5,1.2013165378702215E-4
Argentina,Grapefruit inc. pomelos,-8.802792521904756E-6,3.005330065768275E-4
United Republic of Tanzania,Millet,-4.1943893434740174E-6,1.464736196350528E-4
Canada,Potatoes,-3.3442770483282694E-5,2.2525185608776095E-4
Russian Federation,Rice paddy,-3.7109108823865264E-7,-1.3214854864608442E-5
Tunisia,Lettuce and chicory,1.0068078619149051E-6,3.948220616991485E-5
Croatia,Soybeans,-2.1422280157548577E-5,4.480240959708161E-5
Belgium,Strawberries,-4.089809086697625E-6,5.199106375998517E-5
Brazil,Seed cotton,-1.414669964179901E-4,8.618919542740973E-5
New Zealand,Linseed,-5.329115779471192E-6,8.021225529397544E-5
Slovakia,Beans dry,1.1173866668287955E-6,1.2939092153474217E-5
Poland,Lupins,5.239311724865467E-5,2.9449373298776017E-4
Spain,Barley,1.009986304044571E-5,3.2771193282805927E-4
China,Oranges,5.693039557533406E-6,1.9669743650924047E-4
Argentina,Asparagus,-1.0633859952170249E-5,8.336040713603401E-5
Lao People's Democratic Republic,Maize,3.1608443021922295E-5,3.1607599541410815E-4
Ecuador,Lupins,1.1699300547825644E-6,4.257599059697697E-5
Denmark,Vegetables fresh nes,1.0282334437882737E-6,2.00451390879006E-5
Iran (Islamic Republic of),Apples,3.869005627991238E-6,1.5093169626360578E-4
Nicaragua,Plantains and others,-1.7986853903694493E-6,1.407477993918398E-4
North Macedonia,Walnuts with shell,-1.6048645625069076E-6,4.712181712806853E-5
Romania,Maize,1.2881995737724041E-5,4.2927774017689253E-4
Ghana,Ginger,-9.577983063882631E-6,8.007701795164038E-5
Mali,Lemons and limes,1.5509895672022867E-5,-6.791564064373276E-6
Malta,Figs,-1.514603195735251E-4,2.80970962013552E-4
North Macedonia,Beans dry,-1.6835374771189731E-6,-6.109916911341888E-6
Cyprus,Pistachios,-8.59383461128968E-5,1.8229927686068677E-4
Romania,Sugar beet,-5.649440539048635E-6,2.678867442892381E-4
Nigeria,Groundnuts with shell,1.3335672798269358E-4,4.897581709055292E-4
Kyrgyzstan,Beans dry,-9.168566125100952E-6,1.374897899310301E-4
Japan,Broad beans horse beans dry,-2.4527681248770504E-5,1.435244803764173E-4
Serbia,Cabbages and other brassicas,-2.2799950768139094E-6,3.1321378770812065E-5
Lebanon,Peas green,6.153891148731314E-6,1.7195076716175993E-4
Republic of Moldova,Fruit fresh nes,5.416245333943034E-6,2.179299812225375E-4
Paraguay,Seed cotton,1.6085681711800457E-5,6.242532467218729E-4
Russian Federation,Lentils,4.010223932872464E-5,1.2998234748327973E-4
Mali,Seed cotton,5.971327086291145E-5,1.6329245650485212E-4
Mauritius,Maize,2.9771054583790047E-5,1.363695798046787E-4
Bulgaria,Peas dry,8.617325170915259E-5,6.01181714772717E-4
Israel,Olives,-1.5606149250935194E-4,1.0927984686134477E-4
Spain,Rice paddy,-9.848472300804895E-6,1.2676953142285732E-4
Israel,Wheat,8.955533375726704E-5,7.267856989622007E-4
Lebanon,Spices nes,3.7634199839427655E-6,1.8236760631171263E-4
Peru,Pears,-4.114479228081183E-5,6.121471303906266E-4
Iraq,Oranges,4.879362986298166E-6,6.784318543530838E-5
Morocco,Plums and sloes,-6.471083394333359E-6,6.093819212064183E-5
Yemen,Figs,-4.257655943425082E-6,7.851676530012701E-5
Rwanda,Rice paddy,1.9931124190101558E-5,1.4218991187231556E-4
Kenya,Bananas,-1.93392115928789E-5,4.982743007119731E-4
Yemen,Grapes,8.627003550146783E-7,1.7633478436617173E-4
Portugal,Wheat,-1.0807649282072279E-5,1.7923171347809157E-4
Ukraine,Flax fibre and tow,3.1375588297477737E-6,2.2654713004464645E-4
Turkey,Chick peas,3.165793982000884E-5,0.0010026541119116993
Sierra Leone,Vegetables fresh nes,-2.0184123569565547E-7,-2.6578592611878015E-6
Australia,Apricots,-5.895933100919535E-5,2.270313899972415E-4
Croatia,Beans green,-7.270621331491508E-5,1.420772298319046E-4
Paraguay,Oranges,1.642214903611679E-4,9.543678849159934E-5
Egypt,Cucumbers and gherkins,2.5492705844927527E-4,4.8386043069643215E-4
Colombia,Mangoes mangosteens guavas,2.880179840194523E-5,3.4641193056991504E-4
Republic of Moldova,Melons other inc.cantaloupes,-6.804418500102086E-6,1.8711012646815647E-4
Sri Lanka,Vegetables fresh nes,8.496490079505692E-6,2.737119886462085E-4
Iran (Islamic Republic of),Plums and sloes,4.508667380382302E-5,2.967853271070807E-4
C�te d'Ivoire,Cucumbers and gherkins,2.9912116923269594E-7,1.7248753083021316E-5
Hungary,Pulses nes,-2.150421485034449E-5,2.247546544399129E-4
Israel,Eggplants aubergines,-2.9168501640368973E-5,9.189026928449782E-4
Georgia,Tobacco unmanufactured,-2.775935424425048E-6,-1.315064187132195E-5
Belarus,Rye,1.3137792363142553E-5,2.8724701502156675E-4
Jordan,Apricots,1.4104353128613887E-4,1.8536275574993112E-4
Mexico,Castor oil seed,4.3533982998987796E-4,6.01558464749253E-4
France,Sunflower seed,-5.861509856369536E-7,1.1852221357775509E-4
Fiji,Cassava,-6.980551092560755E-7,6.906610648072702E-6
Maldives,Areca nuts,7.651391183860316E-4,1.6217741677396232E-4
Tunisia,Cereals nes,-1.4658535172151916E-5,5.6736558335178405E-5
India,Onions dry,9.556387313845251E-6,1.2474787067641628E-4
Spain,Garlic,6.17090282124561E-6,1.6202185241531654E-4
Trinidad and Tobago,Yautia cocoyam,-1.2157457235209421E-4,0.0011028876021839458
Thailand,Coffee green,1.8043091171850305E-5,1.9840880859864997E-4
