agricultrendsyieldheatmap.crop,agricultrendsyieldheatmap.roundprecipitation,agricultrendsyieldheatmap.roundtemperature,agricultrendsyieldheatmap.yieldsum,agricultrendsyieldheatmap.yieldrecordnum,agricultrendsyieldheatmap.yieldavg
Vegetables Primary,210,23,862551.0,8,107818.875
Cocoa beans,210,23,37160.0,8,4645.0
Kiwi fruit,120,11,415262.0,4,103815.5
Vegetables Primary,100,0,254744.0,1,254744.0
Oilcrops,100,0,17085.0,1,17085.0
Quinces,70,18,107132.0,1,107132.0
Mangoes mangosteens guavas,310,24,8990.0,1,8990.0
Pumpkins squash and gourds,150,24,1264398.0,15,84293.2
Tomatoes,110,22,1436323.0,13,110486.38461538461
Olives,50,6,1171026.0,21,55763.142857142855
Millet,150,12,79184.0,7,11312.0
Pumpkins squash and gourds,150,12,775422.0,6,129237.0
Pumpkins squash and gourds,240,25,1929143.0,11,175376.63636363635
Fruit fresh nes,180,27,405842.0,6,67640.33333333333
Sugar cane,60,19,4182675.0,4,1045668.75
Oilcrops Oil Equivalent,0,21,781887.0,32,24433.96875
Berries nes,60,8,758241.0,14,54160.07142857143
Lentils,60,14,36573.0,4,9143.25
Apples,200,23,254047.0,4,63511.75
Sesame seed,50,28,58911.0,16,3681.9375
Chillies and peppers green,60,11,8507976.0,20,425398.8
Apples,10,20,2543697.0,26,97834.5
Peas green,90,6,1124372.0,15,74958.13333333333
Melonseed,0,28,113513.0,19,5974.368421052632
Grapes,140,19,899043.0,8,112380.375
Barley,10,12,74487.0,5,14897.4
Yams,110,27,902485.0,12,75207.08333333333
Yams,300,26,428571.0,3,142857.0
Sugar cane,10,20,5639637.0,14,402831.21428571426
Fruit citrus nes,0,24,1736022.0,27,64297.11111111111
Nutmeg mace and cardamoms,250,25,63492.0,14,4535.142857142857
Citrus Fruit Total,60,23,871520.0,13,67040.0
Tobacco unmanufactured,60,23,105804.0,14,7557.428571428572
Cereals Rice Milled Eqv,100,2,34089.0,1,34089.0
Tobacco unmanufactured,40,17,121096.0,11,11008.727272727272
Coconuts,240,24,773606.0,12,64467.166666666664
Coarse Grain Total,80,11,826893.0,22,37586.045454545456
Apples,0,18,797260.0,19,41961.05263157895
Bananas,30,28,3232820.0,7,461831.4285714286
Vegetables Primary,100,1,507639.0,2,253819.5
Lemons and limes,90,15,68685.0,1,68685.0
Grapes,0,16,227619.0,2,113809.5
Oranges,160,11,618849.0,7,88407.0
Rapeseed,170,25,16866.0,2,8433.0
Walnuts with shell,20,12,282125.0,12,23510.416666666668
Roots and Tubers Total,110,9,4519602.0,13,347661.6923076923
Leeks other alliaceous vegetables,140,10,3055485.0,13,235037.3076923077
Tobacco unmanufactured,20,5,60562.0,4,15140.5
Nuts nes,130,10,60040.0,3,20013.333333333332
Fruit citrus nes,30,22,448888.0,8,56111.0
Melonseed,40,7,115079.0,9,12786.555555555555
Yams,170,24,1554608.0,18,86367.11111111111
Fruit Primary,210,27,314359.0,6,52393.166666666664
Fruit fresh nes,0,29,103929.0,2,51964.5
Tobacco unmanufactured,10,26,77078.0,14,5505.571428571428
Beans green,40,8,3063668.0,28,109416.71428571429
Roots and Tubers Total,50,23,668170.0,9,74241.11111111111
Tangerines mandarins clementines satsumas,60,12,1897690.0,13,145976.15384615384
Artichokes,30,22,337833.0,3,112611.0
Peas dry,180,22,63904.0,10,6390.4
Groundnuts with shell,150,22,248555.0,16,15534.6875
Areca nuts,180,23,23739.0,2,11869.5
Oilcrops,80,13,50605.0,4,12651.25
Rye,130,6,114754.0,2,57377.0
Millet,170,27,60465.0,7,8637.857142857143
Coconuts,30,27,60014.0,2,30007.0
Jute,110,26,62774.0,4,15693.5
Strawberries,40,16,836300.0,9,92922.22222222222
Millet,60,26,9250.0,1,9250.0
Papayas,110,19,1489668.0,8,186208.5
Groundnuts with shell,110,19,112891.0,10,11289.1
Cow peas dry,80,24,42514.0,8,5314.25
Cassava,30,27,802733.0,10,80273.3
Lemons and limes,40,10,1156564.0,5,231312.8
Cereals nes,90,9,151292.0,9,16810.222222222223
Raspberries,80,1,587720.0,9,65302.22222222222
Pears,150,22,146835.0,3,48945.0
Fruit fresh nes,30,9,97356.0,3,32452.0
Roots and Tubers Total,230,28,52437.0,1,52437.0
Papayas,150,27,164188.0,2,82094.0
Chestnut,70,9,14464.0,1,14464.0
Wheat,150,7,56340.0,1,56340.0
Cauliflowers and broccoli,140,23,1358804.0,8,169850.5
Maize green,140,23,288224.0,4,72056.0
Sugar cane,30,11,175000.0,1,175000.0
Apricots,100,9,708547.0,6,118091.16666666667
Treenuts Total,150,23,25740.0,3,8580.0
Oilcrops,100,19,700650.0,8,87581.25
Avocados,270,24,79333.0,1,79333.0
Tangerines mandarins clementines satsumas,140,20,203686.0,1,203686.0
Carobs,0,18,56000.0,2,28000.0
Chillies and peppers dry,160,11,46119.0,4,11529.75
Oilcrops,20,10,10559.0,1,10559.0
Pumpkins squash and gourds,20,3,286667.0,2,143333.5
Plums and sloes,20,4,43024.0,3,14341.333333333334
Mustard seed,120,26,24067.0,4,6016.75
Wheat,80,15,30735.0,4,7683.75
Cloves,220,26,13323.0,7,1903.2857142857142
Cereals nes,20,4,7018.0,1,7018.0
Millet,20,6,44209.0,6,7368.166666666667
Sweet potatoes,150,9,112277.0,1,112277.0
Peaches and nectarines,150,9,130000.0,1,130000.0
Nuts nes,210,28,51282.0,1,51282.0
Apples,100,4,1000833.0,1,1000833.0
Sunflower seed,130,9,23448.0,1,23448.0
Cherries sour,10,6,50000.0,1,50000.0
Peas green,150,11,120397.0,2,60198.5
Cauliflowers and broccoli,110,7,191263.0,1,191263.0
Oilcrops Oil Equivalent,70,14,47907.0,2,23953.5
Peaches and nectarines,70,14,117517.0,2,58758.5
Pulses nes,30,13,17656.0,2,8828.0
Blueberries,80,11,196646.0,3,65548.66666666667
Groundnuts with shell,230,22,35081.0,1,35081.0
Vegetables fresh nes,310,26,8889.0,1,8889.0
Sugar beet,100,11,695888.0,2,347944.0
Jute,140,12,39272.0,1,39272.0
Quinces,120,7,934286.0,1,934286.0
Pumpkins squash and gourds,10,25,299448.0,2,149724.0
Roots and Tubers Total,10,25,531366.0,2,265683.0
Linseed,20,2,20000.0,1,20000.0
Broad beans horse beans dry,190,21,5026.0,1,5026.0
Roots and tubers nes,190,21,20366.0,1,20366.0
Oranges,100,16,118926.0,1,118926.0
Taro cocoyam,160,12,124231.0,1,124231.0
Triticale,130,7,52871.0,1,52871.0
Maize,200,27,16318.0,1,16318.0
Tangerines mandarins clementines satsumas,210,22,67230.0,1,67230.0
Persimmons,30,18,202209.0,1,202209.0
Chestnut,80,8,1394.0,1,1394.0
Pumpkins squash and gourds,70,22,43650.0,1,43650.0
Melons other inc.cantaloupes,20,13,1239081.0,14,88505.78571428571
Tomatoes,0,27,2.6320737E7,74,355685.63513513515
Mangoes mangosteens guavas,90,27,2862001.0,37,77351.37837837837
Figs,80,21,389120.0,6,64853.333333333336
Maize green,30,-7,1281830.0,13,98602.30769230769
Oranges,260,24,369406.0,4,92351.5
Roots and Tubers Total,50,7,1.8747353E7,77,243472.1168831169
Cassava,230,23,273832.0,5,54766.4
Millet,90,23,169320.0,23,7361.739130434783
Olives,20,19,596577.0,46,12969.065217391304
Mangoes mangosteens guavas,160,26,2833698.0,34,83344.05882352941
Maize,120,24,878147.0,75,11708.626666666667
Treenuts Total,80,10,758633.0,14,54188.07142857143
Triticale,80,10,558512.0,11,50773.818181818184
Tomatoes,40,8,2.4349339E7,42,579746.1666666666
Oilcrops Oil Equivalent,40,11,155632.0,33,4716.121212121212
Plums and sloes,40,11,2974808.0,33,90145.69696969698
Oranges,50,6,5485247.0,27,203157.2962962963
Sugar cane,110,25,1.3531592E7,45,300702.0444444445
Coarse Grain Total,20,27,322204.0,51,6317.725490196079
Triticale,40,10,428106.0,15,28540.4
Watermelons,40,10,6573460.0,48,136947.08333333334
Oilcrops,10,20,1050685.0,41,25626.463414634145
Cherries,40,9,1515764.0,31,48895.6129032258
Melons other inc.cantaloupes,130,9,291892.0,1,291892.0
Rice paddy,180,26,517927.0,19,27259.315789473683
Sesame seed,50,23,50766.0,8,6345.75
Grapefruit inc. pomelos,80,23,5408825.0,35,154537.85714285713
Cauliflowers and broccoli,180,26,682022.0,6,113670.33333333333
Bananas,90,19,421997.0,6,70332.83333333333
Tobacco unmanufactured,20,18,613369.0,41,14960.219512195123
Vegetables leguminous nes,20,18,4051821.0,47,86208.9574468085
Pulses Total,100,22,127544.0,19,6712.8421052631575
Sunflower seed,60,17,5833.0,1,5833.0
Seed cotton,140,24,491360.0,43,11426.976744186046
Berries nes,20,12,1878342.0,21,89444.85714285714
Citrus Fruit Total,20,14,519511.0,8,64938.875
Rice paddy,30,21,1802796.0,27,66770.22222222222
Cereals Rice Milled Eqv,150,26,803481.0,49,16397.571428571428
Cocoa beans,110,26,151208.0,32,4725.25
Melons other inc.cantaloupes,230,25,1752864.0,14,125204.57142857143
Sorghum,40,14,1534640.0,47,32651.91489361702
Bananas,40,14,1.1478961E7,47,244233.21276595743
Lentils,130,22,60848.0,10,6084.8
Coffee green,100,12,2673.0,2,1336.5
Pineapples,60,20,8133978.0,21,387332.28571428574
Rapeseed,30,-9,40005.0,4,10001.25
Beans dry,30,-9,57888.0,4,14472.0
Sorghum,100,26,192969.0,29,6654.103448275862
Watermelons,40,15,3869634.0,13,297664.1538461539
Treenuts Total,10,18,457655.0,33,13868.333333333334
Roots and Tubers Total,60,13,2863724.0,15,190914.93333333332
Pineapples,150,24,6003388.0,44,136440.63636363635
Vegetables Primary,10,7,719990.0,4,179997.5
Sugar beet,50,14,1.3225973E7,24,551082.2083333334
Pineapples,60,15,1076163.0,9,119573.66666666667
Tea,30,-6,90186.0,11,8198.727272727272
Currants,50,11,344799.0,11,31345.363636363636
Berries nes,50,9,1025492.0,21,48832.95238095238
Barley,50,2,585531.0,16,36595.6875
Pineapples,130,26,5695329.0,39,146034.07692307694
Melonseed,140,24,50672.0,10,5067.2
Coarse Grain Total,130,24,722775.0,65,11119.615384615385
Quinoa,90,20,101102.0,17,5947.176470588235
Buckwheat,130,25,77285.0,7,11040.714285714286
Hazelnuts with shell,40,18,94433.0,7,13490.42857142857
Cereals Total,40,18,249474.0,12,20789.5
Apples,40,18,1460129.0,11,132739.0
Groundnuts with shell,10,16,109316.0,6,18219.333333333332
Fibre Crops Primary,50,20,108883.0,19,5730.684210526316
Rye,120,11,89663.0,5,17932.6
String beans,120,11,372298.0,5,74459.6
Millet,0,21,211889.0,22,9631.318181818182
Spinach,60,21,2092733.0,18,116262.94444444444
Maize,10,14,149454.0,6,24909.0
Cucumbers and gherkins,90,27,1361333.0,15,90755.53333333334
Beans dry,110,12,98337.0,14,7024.071428571428
Oilseeds nes,50,22,25321.0,5,5064.2
Apricots,50,22,84177.0,4,21044.25
Melons other inc.cantaloupes,60,9,5444563.0,15,362970.86666666664
Grapefruit inc. pomelos,20,18,6427897.0,26,247226.8076923077
Ginger,120,22,211185.0,4,52796.25
Tea,200,25,143240.0,12,11936.666666666666
Plums and sloes,100,23,557358.0,11,50668.90909090909
Oilseeds nes,10,17,593712.0,30,19790.4
Pyrethrum dried,220,25,3800.0,1,3800.0
Maize,90,24,569888.0,33,17269.333333333332
Olives,70,13,147742.0,6,24623.666666666668
Hops,70,9,74706.0,4,18676.5
Blueberries,120,6,314008.0,6,52334.666666666664
Groundnuts with shell,70,7,41486.0,4,10371.5
Ginger,120,12,758066.0,7,108295.14285714286
Pigeon peas,130,25,101949.0,15,6796.6
Figs,60,14,166837.0,6,27806.166666666668
Asparagus,40,9,515243.0,12,42936.916666666664
Oilcrops Oil Equivalent,50,3,75897.0,9,8433.0
Beans dry,160,27,40917.0,6,6819.5
Oranges,100,21,235010.0,4,58752.5
Coconuts,60,10,51009.0,2,25504.5
Sweet potatoes,190,24,1523690.0,25,60947.6
Garlic,30,20,515265.0,5,103053.0
Eggplants aubergines,30,20,2239282.0,5,447856.4
Oats,80,13,24242.0,1,24242.0
Fruit tropical fresh nes,130,25,2114815.0,32,66087.96875
Taro cocoyam,180,25,1287486.0,21,61308.857142857145
Millet,100,26,163192.0,26,6276.615384615385
Hops,80,10,171373.0,10,17137.3
Chillies and peppers green,180,28,167071.0,5,33414.2
Mangoes mangosteens guavas,30,28,891503.0,8,111437.875
Beans green,30,28,250079.0,4,62519.75
Potatoes,80,1,3088829.0,17,181695.82352941178
Oilcrops,310,28,61905.0,2,30952.5
Oilseeds nes,20,26,4500.0,1,4500.0
Oil palm fruit,160,24,2114762.0,21,100702.95238095238
Apples,90,1,160271.0,2,80135.5
Pigeon peas,140,27,50280.0,4,12570.0
Beans green,70,8,278265.0,3,92755.0
Oranges,90,28,338854.0,7,48407.71428571428
Lemons and limes,100,9,115000.0,2,57500.0
Flax fibre and tow,30,11,21694.0,2,10847.0
Vegetables leguminous nes,40,16,643206.0,9,71467.33333333333
Oranges,30,16,1310125.0,6,218354.16666666666
Sweet potatoes,80,19,132228.0,3,44076.0
Sugar cane,130,28,464125.0,2,232062.5
Cereals nes,90,6,249839.0,7,35691.28571428572
Oilcrops Cake Equivalent,110,10,70373.0,6,11728.833333333334
Leeks other alliaceous vegetables,140,23,453395.0,4,113348.75
Chillies and peppers dry,230,26,155454.0,5,31090.8
Pulses Total,10,0,99370.0,15,6624.666666666667
Cow peas dry,80,21,57233.0,10,5723.3
Cashew nuts with shell,280,26,22488.0,2,11244.0
Figs,120,22,10000.0,1,10000.0
Hops,30,21,485798.0,24,20241.583333333332
Citrus Fruit Total,10,21,904323.0,14,64594.5
Rubber natural,140,25,205893.0,25,8235.72
Maize green,30,14,236112.0,1,236112.0
Spices nes,130,11,342766.0,7,48966.57142857143
Vegetables Primary,190,24,2984095.0,33,90427.12121212122
Fibre Crops Primary,170,26,61561.0,13,4735.461538461538
Nutmeg mace and cardamoms,110,21,3125.0,1,3125.0
Oilseeds nes,120,12,31529.0,5,6305.8
Coffee green,40,7,142009.0,9,15778.777777777777
Oilcrops,110,11,96974.0,8,12121.75
Mushrooms and truffles,100,11,7355376.0,5,1471075.2
Fruit fresh nes,80,9,316072.0,4,79018.0
Cocoa beans,150,22,8544.0,3,2848.0
Fruit stone nes,10,12,304130.0,3,101376.66666666667
Berries nes,210,25,283956.0,6,47326.0
Barley,210,25,36449.0,5,7289.8
Soybeans,250,26,49716.0,4,12429.0
Tomatoes,360,22,100000.0,1,100000.0
Cereals Rice Milled Eqv,130,7,58076.0,1,58076.0
Anise badian fennel coriander,170,21,18824.0,4,4706.0
Lettuce and chicory,170,21,599270.0,5,119854.0
Melons other inc.cantaloupes,90,9,288478.0,1,288478.0
Plantains and others,260,23,398482.0,4,99620.5
Watermelons,130,22,317761.0,2,158880.5
Artichokes,20,5,100000.0,1,100000.0
Beans green,60,29,336515.0,3,112171.66666666667
Linseed,170,21,7812.0,2,3906.0
Peas green,170,21,57068.0,5,11413.6
Garlic,130,21,107673.0,3,35891.0
Plums and sloes,80,27,37524.0,1,37524.0
Oilcrops Oil Equivalent,220,22,2207.0,1,2207.0
Maize green,80,8,235242.0,2,117621.0
Avocados,30,16,215556.0,2,107778.0
Almonds with shell,100,13,20000.0,2,10000.0
Strawberries,140,4,27778.0,1,27778.0
Grain mixed,40,19,30000.0,1,30000.0
Maize green,60,20,228991.0,3,76330.33333333333
Hemp tow waste,10,18,10990.0,1,10990.0
Sugar crops nes,160,23,283284.0,2,141642.0
Coconuts,20,23,96390.0,3,32130.0
Apples,10,25,58820.0,1,58820.0
Mangoes mangosteens guavas,10,25,40647.0,1,40647.0
Fruit Primary,220,22,141271.0,1,141271.0
Rapeseed,110,4,26397.0,1,26397.0
Peaches and nectarines,110,12,378732.0,3,126244.0
Peaches and nectarines,60,25,283702.0,4,70925.5
Castor oil seed,180,21,19355.0,2,9677.5
Cabbages and other brassicas,160,10,639766.0,2,319883.0
Vegetables Primary,70,18,151403.0,1,151403.0
Fruit citrus nes,110,10,197853.0,2,98926.5
Pulses nes,280,21,18250.0,4,4562.5
Garlic,90,15,60118.0,1,60118.0
Cauliflowers and broccoli,100,21,89294.0,1,89294.0
Chestnut,50,13,15409.0,1,15409.0
Maize green,340,26,3503.0,1,3503.0
Yautia cocoyam,270,23,74140.0,1,74140.0
Chick peas,120,11,8911.0,1,8911.0
Lemons and limes,60,19,169850.0,1,169850.0
Oranges,10,28,24419.0,1,24419.0
Nuts nes,170,11,25642.0,1,25642.0
Onions dry,170,11,603306.0,1,603306.0
Chillies and peppers green,100,8,929385.0,1,929385.0
Fruit tropical fresh nes,10,22,1174.0,1,1174.0
Pepper piper spp.,20,4,95689.0,1,95689.0
Pulses Total,10,2,9643.0,1,9643.0
Beans green,100,20,18596.0,1,18596.0
Pumpkins squash and gourds,0,20,209502.0,2,104751.0
Coarse Grain Total,120,27,634572.0,28,22663.285714285714
Fruit Primary,50,24,2000085.0,17,117652.05882352941
Citrus Fruit Total,60,25,335183.0,4,83795.75
Sunflower seed,160,25,68903.0,7,9843.285714285714
Tobacco unmanufactured,160,25,475348.0,35,13581.371428571429
Watermelons,0,26,1.1459407E7,59,194227.2372881356
Vegetables fresh nes,150,25,6868262.0,86,79863.51162790698
Fibre Crops Primary,100,25,179362.0,29,6184.896551724138
Vegetables fresh nes,100,25,3583884.0,45,79641.86666666667
Pulses Total,0,23,651999.0,44,14818.15909090909
Coarse Grain Total,240,26,276103.0,10,27610.3
Pulses nes,10,11,27579.0,4,6894.75
Eggplants aubergines,0,27,1.8623629E7,65,286517.3692307692
Cereals Total,140,25,1394957.0,78,17884.0641025641
Apricots,60,8,1397846.0,25,55913.84
Coconuts,40,6,903008.0,12,75250.66666666667
Lentils,220,24,57148.0,12,4762.333333333333
Fibre Crops Primary,90,23,95446.0,34,2807.235294117647
Sesame seed,100,27,77826.0,17,4578.0
Peas dry,30,11,359248.0,21,17107.04761904762
Papayas,200,25,3776626.0,24,157359.41666666666
Grain mixed,40,5,82807.0,4,20701.75
Tangerines mandarins clementines satsumas,120,11,1623236.0,8,202904.5
Mangoes mangosteens guavas,130,22,1308814.0,10,130881.4
Nuts nes,140,28,50000.0,1,50000.0
Berries nes,60,21,2116604.0,19,111400.21052631579
Cereals Total,60,21,586010.0,25,23440.4
Tangerines mandarins clementines satsumas,210,25,303030.0,8,37878.75
Oranges,90,11,133583.0,3,44527.666666666664
Flax fibre and tow,90,11,18335.0,3,6111.666666666667
Sisal,110,25,143864.0,32,4495.75
Wheat,80,24,344435.0,18,19135.277777777777
Oilcrops Oil Equivalent,280,26,81581.0,6,13596.833333333334
Roots and Tubers Total,40,19,1556592.0,11,141508.36363636365
Citrus Fruit Total,70,21,3813209.0,43,88679.27906976744
Spinach,40,21,2256533.0,18,125362.94444444444
Chick peas,100,24,76021.0,8,9502.625
Carrots and turnips,70,1,4641649.0,15,309443.26666666666
Roots and tubers nes,80,27,1192325.0,18,66240.27777777778
Cereals Rice Milled Eqv,80,6,547249.0,17,32191.117647058825
Mat�,80,23,349575.0,12,29131.25
Wheat,20,20,1547644.0,56,27636.5
Tangerines mandarins clementines satsumas,140,10,2316336.0,20,115816.8
Lettuce and chicory,60,20,1166836.0,8,145854.5
Nuts nes,70,22,191540.0,15,12769.333333333334
Lemons and limes,60,16,1848552.0,7,264078.85714285716
Lupins,70,11,204986.0,9,22776.222222222223
Coarse Grain Total,70,11,1171410.0,25,46856.4
Oranges,180,24,2291480.0,19,120604.21052631579
Chillies and peppers green,10,21,2382492.0,25,95299.68
Kiwi fruit,30,-7,1559045.0,10,155904.5
Watermelons,210,23,1283466.0,5,256693.2
Coarse Grain Total,100,23,285126.0,19,15006.631578947368
Millet,30,2,94579.0,4,23644.75
Cabbages and other brassicas,30,2,1457485.0,7,208212.14285714287
Vegetables Primary,90,21,1775077.0,26,68272.19230769231
Peas dry,30,-8,422132.0,25,16885.28
Rye,30,17,41849.0,17,2461.705882352941
Cauliflowers and broccoli,20,16,1102660.0,5,220532.0
Chillies and peppers green,70,18,482954.0,1,482954.0
Sweet potatoes,310,24,40595.0,1,40595.0
Grapes,180,24,479595.0,5,95919.0
Chillies and peppers dry,110,22,83007.0,9,9223.0
Melonseed,90,26,93532.0,15,6235.466666666666
Sorghum,90,26,238469.0,29,8223.068965517241
Cereals Total,90,13,130835.0,6,21805.833333333332
Onions shallots green,240,25,412587.0,5,82517.4
Pulses Total,180,28,32981.0,5,6596.2
Bananas,180,28,1493907.0,5,298781.4
Fruit fresh nes,70,15,589945.0,8,73743.125
Citrus Fruit Total,80,19,153828.0,3,51276.0
Gooseberries,100,7,489378.0,7,69911.14285714286
Vegetables leguminous nes,110,20,341679.0,10,34167.9
Yautia cocoyam,260,21,200000.0,2,100000.0
Coarse Grain Total,10,19,375318.0,29,12942.0
Chillies and peppers green,30,8,146699.0,2,73349.5
Apples,0,21,1063380.0,13,81798.46153846153
Cucumbers and gherkins,80,2,2.6165814E7,11,2378710.3636363638
Soybeans,70,19,4712.0,1,4712.0
Vegetables Primary,250,26,1081126.0,16,67570.375
Oilcrops Cake Equivalent,120,17,43996.0,6,7332.666666666667
Taro cocoyam,90,20,791632.0,16,49477.0
Apples,140,26,43455.0,1,43455.0
Beans green,170,26,825552.0,13,63504.0
Melonseed,130,25,59155.0,11,5377.727272727273
Hazelnuts with shell,70,10,98153.0,6,16358.833333333334
Watermelons,140,26,3051000.0,24,127125.0
Rice paddy,140,26,918568.0,43,21362.04651162791
Fruit Primary,10,12,451159.0,5,90231.8
Bananas,300,26,208585.0,4,52146.25
Peas green,120,8,55887.0,1,55887.0
Cauliflowers and broccoli,30,12,220358.0,1,220358.0
Sorghum,70,23,183268.0,21,8727.047619047618
Avocados,190,26,576742.0,11,52431.09090909091
Grapefruit inc. pomelos,80,16,218640.0,3,72880.0
Soybeans,90,7,189278.0,8,23659.75
Chillies and peppers green,100,11,232362.0,8,29045.25
Cauliflowers and broccoli,100,26,171225.0,3,57075.0
Apples,150,6,1064034.0,2,532017.0
Treenuts Total,40,8,736621.0,26,28331.576923076922
Fibre Crops Primary,90,5,24416.0,6,4069.3333333333335
Hemp tow waste,130,11,113526.0,13,8732.76923076923
Carrots and turnips,60,12,4515841.0,15,301056.06666666665
Apricots,140,11,444551.0,5,88910.2
Maize green,140,11,1146981.0,10,114698.1
Maize,290,21,12857.0,1,12857.0
Rice paddy,340,26,27486.0,2,13743.0
Onions dry,160,22,756715.0,10,75671.5
Grain mixed,110,6,154316.0,4,38579.0
Linseed,50,0,27447.0,2,13723.5
Fruit citrus nes,130,12,883496.0,7,126213.71428571429
Barley,100,5,271349.0,9,30149.88888888889
Maize,140,27,406694.0,24,16945.583333333332
Pears,140,21,636420.0,8,79552.5
Fibre Crops Primary,50,13,95108.0,15,6340.533333333334
Cereals Total,0,24,670083.0,32,20940.09375
Oil palm fruit,140,19,1319012.0,8,164876.5
Plums and sloes,10,12,368599.0,5,73719.8
Cereals nes,180,26,31500.0,4,7875.0
Strawberries,140,6,324279.0,2,162139.5
Oats,90,5,183786.0,8,22973.25
Sesame seed,260,25,50172.0,9,5574.666666666667
Fibre Crops Primary,50,23,16851.0,9,1872.3333333333333
String beans,50,13,421440.0,5,84288.0
Oats,80,7,130547.0,6,21757.833333333332
Beans dry,180,26,251907.0,13,19377.46153846154
Cabbages and other brassicas,90,2,3479417.0,14,248529.7857142857
Cauliflowers and broccoli,80,-1,282909.0,2,141454.5
Vegetables fresh nes,110,5,1411654.0,6,235275.66666666666
Cranberries,60,10,175377.0,3,58459.0
Pears,160,22,283435.0,4,70858.75
Triticale,80,9,41623.0,1,41623.0
Anise badian fennel coriander,50,25,27718.0,6,4619.666666666667
Ginger,160,12,542304.0,7,77472.0
Currants,40,7,525771.0,8,65721.375
Citrus Fruit Total,40,10,888467.0,5,177693.4
Grapes,150,24,916964.0,10,91696.4
Oilcrops,80,1,141910.0,9,15767.777777777777
Rye,30,1,96784.0,6,16130.666666666666
Spinach,140,25,379325.0,3,126441.66666666667
Canary seed,40,12,64889.0,6,10814.833333333334
Walnuts with shell,90,5,15264.0,1,15264.0
Vegetables Primary,200,21,48445.0,1,48445.0
Chestnut,80,5,95133.0,6,15855.5
Sweet potatoes,100,10,216718.0,1,216718.0
Cherries,80,12,580592.0,10,58059.2
Quinces,150,12,142252.0,2,71126.0
Quinces,30,13,69153.0,1,69153.0
Ginger,310,23,105412.0,4,26353.0
Cocoa beans,310,23,3119.0,4,779.75
Linseed,10,16,58750.0,6,9791.666666666666
Ginger,110,23,281178.0,8,35147.25
Tung nuts,110,23,120247.0,8,15030.875
Grapes,200,25,307088.0,3,102362.66666666667
Dates,120,19,237710.0,7,33958.57142857143
Hemp tow waste,40,5,30003.0,5,6000.6
Eggplants aubergines,160,10,287767.0,1,287767.0
Asparagus,140,20,101805.0,1,101805.0
Potatoes,140,20,121901.0,1,121901.0
Vegetables Primary,130,21,296067.0,3,98689.0
Poppy seed,100,10,9377.0,1,9377.0
Maize,110,9,141130.0,2,70565.0
Oilcrops,50,19,59489.0,4,14872.25
Walnuts with shell,0,22,112489.0,3,37496.333333333336
Sugar cane,300,25,1017995.0,2,508997.5
Pepper piper spp.,90,26,5000.0,1,5000.0
Sesame seed,100,20,11250.0,1,11250.0
Chillies and peppers dry,150,28,33704.0,5,6740.8
Cereals Total,0,20,15645.0,2,7822.5
Cow peas dry,220,24,21258.0,2,10629.0
Chillies and peppers dry,210,26,204976.0,9,22775.11111111111
Lettuce and chicory,250,22,86667.0,1,86667.0
Cherries,190,26,350500.0,2,175250.0
Chillies and peppers green,0,17,285713.0,3,95237.66666666667
Vegetables fresh nes,0,17,350168.0,3,116722.66666666667
Sweet potatoes,270,22,150966.0,3,50322.0
Safflower seed,30,1,16666.0,3,5555.333333333333
Oilcrops,270,27,250359.0,7,35765.57142857143
Melonseed,30,29,115584.0,2,57792.0
Flax fibre and tow,50,1,21074.0,2,10537.0
Persimmons,20,15,60000.0,1,60000.0
Eggplants aubergines,80,19,71843.0,1,71843.0
Bananas,140,12,96600.0,2,48300.0
Chillies and peppers green,70,14,100000.0,2,50000.0
Cinnamon cannella,260,25,4694.0,1,4694.0
Broad beans horse beans dry,270,23,4351.0,1,4351.0
Pears,50,23,20000.0,1,20000.0
Artichokes,40,17,130000.0,1,130000.0
Oilcrops,20,7,21700.0,2,10850.0
Vegetables fresh nes,190,21,66667.0,1,66667.0
Lettuce and chicory,360,22,96000.0,1,96000.0
Bananas,100,16,208398.0,1,208398.0
Bastfibres other,90,21,30000.0,3,10000.0
Ginger,260,22,27200.0,1,27200.0
Maize green,60,18,17778.0,1,17778.0
Quinces,60,18,65263.0,1,65263.0
Sunflower seed,60,18,7324.0,1,7324.0
Cherries sour,70,20,16818.0,1,16818.0
Barley,30,-1,25704.0,1,25704.0
Pulses Total,110,4,35714.0,1,35714.0
Vegetables Primary,20,13,1418940.0,15,94596.0
Watermelons,0,27,1.1408141E7,88,129637.96590909091
Tomatoes,30,20,3834377.0,9,426041.8888888889
Plums and sloes,80,21,363330.0,6,60555.0
Bananas,220,25,1.0270905E7,41,250509.8780487805
Vegetables fresh nes,40,6,6082636.0,40,152065.9
Lemons and limes,120,26,1455054.0,20,72752.7
Sesame seed,230,23,25692.0,3,8564.0
Cherries,80,24,340273.0,13,26174.846153846152
Apricots,20,19,6687629.0,68,98347.48529411765
Oilcrops Cake Equivalent,20,19,484258.0,63,7686.6349206349205
Lemons and limes,70,12,3497788.0,21,166561.33333333334
Fruit Primary,160,26,4486540.0,50,89730.8
Watermelons,30,10,2242638.0,18,124591.0
Eggplants aubergines,60,10,3.5382154E7,24,1474256.4166666667
Watermelons,140,25,4429616.0,38,116568.84210526316
Rubber natural,140,26,329973.0,30,10999.1
Vegetables leguminous nes,240,24,352637.0,5,70527.4
